type_tache,complexite,type_livrable,niveau_expertise,temps_sans_copilot,copilot_utilise,temps_realisation_min,nb_iterations,score_pertinence,score_clarte,score_exactitude,score_exploitabilite,copilot_pertinent
Nettoyer les données,Faible,Management,Intermédiaire,48.7,1,24.557609284826384,2,3.2,3.7,5.0,4.5,1
Créer des rapports automatiquement,Moyen,Management,Intermédiaire,46.4,0,46.4,1,2.8,3.1,2.9,3.8,0
Générer du DAX,Faible,Exploratoire,Débutant,61.8,1,11.1,3,2.6,3.7,2.8,3.8,0
Poser des questions en langage naturel,Élevé,Opérationnel,Intermédiaire,34.4,1,25.6,2,3.7,3.9,5.0,3.6,1
Générer du DAX,Faible,Management,Débutant,28.6,0,28.6,1,3.3,3.3,2.0,3.9,0
Générer du DAX,Moyen,Exploratoire,Débutant,57.0,0,57.0,1,3.7,3.5,1.9,3.3,0
Générer du DAX,Moyen,Exploratoire,Intermédiaire,69.5,0,69.5,1,3.3,3.5,3.4,2.9,0
Analyser les données rapidement,Moyen,Exploratoire,Débutant,31.7,0,31.7,1,3.8,3.6,3.0,3.4,0
Poser des questions en langage naturel,Faible,Opérationnel,Intermédiaire,23.7,1,15.2,1,4.0,3.8,4.6,2.8,1
Analyser les données rapidement,Faible,Opérationnel,Expert,28.2,1,21.8,1,4.2,4.4,3.6,3.1,1
Poser des questions en langage naturel,Élevé,Exploratoire,Expert,14.8,1,16.8,2,4.0,3.7,3.3,4.8,0
Poser des questions en langage naturel,Moyen,Opérationnel,Expert,36.7,0,36.7,1,3.4,4.6,3.7,3.9,0
Poser des questions en langage naturel,Moyen,Management,Intermédiaire,30.5,1,22.0,1,4.2,4.2,3.9,4.5,1
Générer du DAX,Moyen,Management,Expert,57.8,1,40.3,4,3.9,3.3,3.2,3.7,0
Poser des questions en langage naturel,Élevé,Management,Intermédiaire,48.6,0,48.6,2,3.2,3.5,3.6,3.0,0
Générer du DAX,Élevé,Management,Intermédiaire,75.3,1,27.8,3,4.0,3.8,3.2,3.3,1
Analyser les données rapidement,Faible,Management,Intermédiaire,28.3,1,11.7,2,3.7,4.4,4.2,3.7,1
Poser des questions en langage naturel,Moyen,Opérationnel,Intermédiaire,24.4,1,20.0,1,3.4,3.2,4.3,4.0,1
Créer des rapports automatiquement,Faible,Management,Expert,27.9,1,24.9,3,5.0,4.6,4.1,4.0,1
Poser des questions en langage naturel,Moyen,Management,Intermédiaire,41.8,0,41.8,1,2.8,3.3,3.9,2.4,0
Créer des rapports automatiquement,Élevé,Exploratoire,Débutant,52.5,1,32.9,1,4.6,4.2,4.3,3.6,1
Créer des rapports automatiquement,Élevé,Opérationnel,Expert,15.9,1,12.8,2,3.5,4.8,5.0,3.8,1
Générer du DAX,Faible,Exploratoire,Intermédiaire,45.9,1,16.0,4,3.9,3.0,3.3,3.2,0
Générer du DAX,Élevé,Opérationnel,Débutant,67.8,1,13.9,4,3.1,3.2,4.4,3.6,0
Poser des questions en langage naturel,Moyen,Opérationnel,Intermédiaire,24.3,1,21.0,1,3.7,3.7,2.9,3.8,1
Créer des rapports automatiquement,Élevé,Opérationnel,Débutant,60.1,1,38.3,3,3.1,4.9,3.7,3.6,1
Poser des questions en langage naturel,Faible,Opérationnel,Débutant,25.6,0,25.6,1,3.8,3.5,2.0,3.1,0
Analyser les données rapidement,Faible,Exploratoire,Débutant,25.2,0,25.2,2,2.8,3.6,2.8,4.0,0
Analyser les données rapidement,Élevé,Opérationnel,Intermédiaire,60.7,1,31.6,1,3.7,3.8,4.7,3.4,1
Analyser les données rapidement,Faible,Opérationnel,Intermédiaire,21.3,0,21.3,1,4.2,3.4,3.8,3.7,0
Créer des rapports automatiquement,Élevé,Opérationnel,Expert,46.9,1,37.5,3,3.8,3.7,5.0,4.9,1
Poser des questions en langage naturel,Moyen,Exploratoire,Débutant,33.3,0,33.3,1,3.3,3.7,2.3,3.2,0
Résumer les insights,Élevé,Opérationnel,Intermédiaire,34.1,1,21.8,1,2.7,4.0,4.4,3.7,1
Poser des questions en langage naturel,Moyen,Opérationnel,Intermédiaire,32.0,1,18.6,1,4.6,4.3,4.0,3.5,1
Générer du DAX,Faible,Exploratoire,Intermédiaire,52.4,1,18.7,3,3.6,3.3,2.3,2.2,0
Générer du DAX,Moyen,Opérationnel,Débutant,70.8,0,70.8,1,3.2,3.0,3.0,3.9,0
Résumer les insights,Faible,Exploratoire,Intermédiaire,14.2,1,12.6,2,3.8,4.2,4.9,3.5,1
Analyser les données rapidement,Moyen,Management,Intermédiaire,47.9,1,22.8,1,3.7,4.3,4.2,4.2,1
Créer des rapports automatiquement,Élevé,Opérationnel,Débutant,47.0,1,32.5,1,4.2,4.3,3.1,3.0,1
Créer des rapports automatiquement,Faible,Management,Débutant,29.8,0,29.8,2,2.8,3.7,4.2,3.4,0
Poser des questions en langage naturel,Faible,Management,Débutant,23.2,1,17.7,2,4.4,5.0,4.1,4.7,1
Générer du DAX,Faible,Management,Expert,54.6,0,54.6,2,3.5,4.1,3.2,3.9,0
Créer des rapports automatiquement,Moyen,Opérationnel,Intermédiaire,35.6,1,26.8,3,3.9,4.3,4.4,5.0,1
Créer des rapports automatiquement,Élevé,Management,Expert,54.4,1,48.3,2,3.6,4.0,4.5,3.3,1
Créer des rapports automatiquement,Élevé,Exploratoire,Expert,25.6,1,20.8,2,4.6,4.8,4.1,4.5,1
Poser des questions en langage naturel,Faible,Management,Débutant,35.0,1,20.9,1,4.6,3.4,3.5,3.6,1
Résumer les insights,Moyen,Opérationnel,Intermédiaire,23.3,1,14.9,1,3.5,4.2,3.8,3.8,1
Générer du DAX,Faible,Opérationnel,Intermédiaire,48.3,0,48.3,1,3.5,3.3,3.2,3.4,0
Poser des questions en langage naturel,Élevé,Management,Expert,47.6,1,43.4,2,3.5,4.1,4.0,4.0,0
Poser des questions en langage naturel,Moyen,Management,Intermédiaire,42.6,1,30.7,1,3.4,3.6,3.3,4.5,1
Créer des rapports automatiquement,Moyen,Management,Débutant,46.7,1,33.5,1,4.5,3.8,3.3,4.9,1
Créer des rapports automatiquement,Faible,Exploratoire,Intermédiaire,24.5,1,19.4,2,3.7,5.0,3.9,4.2,1
Analyser les données rapidement,Faible,Management,Expert,26.3,1,17.0,2,3.8,3.8,3.3,3.7,1
Résumer les insights,Moyen,Management,Débutant,28.0,0,28.0,2,4.5,4.0,3.9,3.2,0
Résumer les insights,Moyen,Exploratoire,Expert,36.7,0,36.7,2,2.6,3.8,4.4,3.2,0
Analyser les données rapidement,Faible,Management,Intermédiaire,38.6,0,38.6,1,3.6,3.7,3.0,4.2,0
Analyser les données rapidement,Faible,Management,Débutant,30.2,0,30.2,1,2.6,4.2,4.0,2.9,0
Créer des rapports automatiquement,Moyen,Opérationnel,Débutant,31.6,1,25.1,3,3.6,3.7,2.9,3.8,1
Résumer les insights,Moyen,Exploratoire,Intermédiaire,23.6,1,16.7,1,3.9,3.5,4.7,4.3,1
Générer du DAX,Moyen,Opérationnel,Débutant,59.2,1,10.1,3,3.2,2.2,2.6,3.8,0
Générer du DAX,Faible,Exploratoire,Débutant,46.3,1,7.0,4,3.3,3.2,4.2,2.7,0
Poser des questions en langage naturel,Moyen,Management,Débutant,36.7,1,21.9,1,3.7,4.6,4.3,3.6,1
Analyser les données rapidement,Moyen,Opérationnel,Débutant,32.3,1,11.7,3,3.5,3.1,4.2,3.9,1
Résumer les insights,Moyen,Exploratoire,Débutant,19.5,1,11.6,1,3.6,4.0,3.3,3.7,1
Résumer les insights,Faible,Opérationnel,Expert,26.4,1,24.1,3,4.5,3.8,4.0,2.9,0
Résumer les insights,Élevé,Exploratoire,Expert,34.3,1,29.2,1,4.1,4.9,4.4,3.7,1
Générer du DAX,Moyen,Opérationnel,Débutant,39.9,1,9.5,5,2.7,4.4,2.9,3.9,0
Analyser les données rapidement,Élevé,Opérationnel,Intermédiaire,50.7,1,24.1,1,3.3,4.2,3.2,3.8,1
Générer du DAX,Moyen,Opérationnel,Expert,66.7,1,46.0,6,2.5,3.2,3.7,2.8,0
Poser des questions en langage naturel,Élevé,Opérationnel,Intermédiaire,44.5,1,35.7,1,4.7,3.8,4.8,4.6,1
Générer du DAX,Moyen,Opérationnel,Intermédiaire,69.2,1,27.0,4,3.9,2.9,2.3,2.9,0
Analyser les données rapidement,Faible,Opérationnel,Intermédiaire,31.3,1,16.4,1,3.7,5.0,4.0,3.0,1
Générer du DAX,Moyen,Management,Expert,76.4,0,76.4,1,4.6,3.7,2.8,3.7,0
Analyser les données rapidement,Faible,Management,Débutant,32.2,1,10.8,4,3.8,3.7,4.6,3.5,0
Créer des rapports automatiquement,Élevé,Exploratoire,Débutant,59.5,1,42.1,1,3.8,3.8,3.1,4.3,1
Résumer les insights,Faible,Opérationnel,Intermédiaire,23.9,0,23.9,1,2.5,3.7,2.9,4.0,0
Résumer les insights,Moyen,Opérationnel,Intermédiaire,19.0,1,17.1,1,3.9,4.0,4.2,4.4,0
Analyser les données rapidement,Moyen,Management,Intermédiaire,48.9,1,25.4,2,4.0,4.8,4.6,3.8,1
Poser des questions en langage naturel,Faible,Management,Débutant,18.0,0,18.0,2,3.8,4.2,3.7,3.8,0
Générer du DAX,Élevé,Opérationnel,Expert,98.6,0,98.6,1,4.6,4.0,3.3,3.6,0
Résumer les insights,Moyen,Exploratoire,Débutant,28.2,1,16.7,2,4.3,4.4,3.4,3.6,1
Créer des rapports automatiquement,Faible,Management,Débutant,29.4,1,21.1,1,4.5,4.7,2.1,4.6,1
Poser des questions en langage naturel,Élevé,Opérationnel,Débutant,34.6,1,23.9,2,3.5,4.0,3.6,4.5,1
Résumer les insights,Moyen,Exploratoire,Intermédiaire,21.9,1,15.6,3,3.9,4.0,4.6,4.0,1
Générer du DAX,Élevé,Opérationnel,Expert,94.8,0,94.8,1,2.6,3.8,3.6,3.3,0
Analyser les données rapidement,Faible,Opérationnel,Intermédiaire,29.1,0,29.1,1,3.6,3.8,2.5,4.1,0
Générer du DAX,Élevé,Exploratoire,Expert,63.9,1,43.0,5,2.4,3.1,3.4,3.8,0
Résumer les insights,Faible,Opérationnel,Intermédiaire,19.0,0,19.0,1,3.3,3.5,4.0,3.4,0
Générer du DAX,Moyen,Management,Expert,64.9,1,46.0,2,3.3,3.4,3.7,3.5,0
Analyser les données rapidement,Élevé,Exploratoire,Expert,54.4,1,42.8,2,4.3,4.7,3.8,3.4,1
Poser des questions en langage naturel,Moyen,Opérationnel,Expert,25.2,0,25.2,1,3.2,3.7,3.7,3.2,0
Analyser les données rapidement,Faible,Exploratoire,Débutant,29.2,0,29.2,1,3.2,3.7,3.1,3.4,0
Créer des rapports automatiquement,Moyen,Management,Débutant,39.1,1,27.7,2,4.0,4.0,3.6,3.9,1
Générer du DAX,Faible,Management,Intermédiaire,9.3,1,5.0,2,3.1,2.2,3.1,3.6,0
Créer des rapports automatiquement,Moyen,Exploratoire,Intermédiaire,21.7,1,16.3,3,4.5,3.0,3.8,4.0,1
Résumer les insights,Moyen,Opérationnel,Intermédiaire,33.2,0,33.2,1,2.9,3.6,4.4,3.5,0
Poser des questions en langage naturel,Élevé,Management,Intermédiaire,38.8,0,38.8,2,4.0,4.6,3.1,3.4,0
Résumer les insights,Moyen,Exploratoire,Débutant,19.9,1,11.8,4,4.2,4.4,4.2,3.9,0
Poser des questions en langage naturel,Élevé,Opérationnel,Expert,32.6,1,28.5,1,3.4,4.2,3.0,4.1,1
Analyser les données rapidement,Moyen,Management,Intermédiaire,7.4,1,6.5,2,4.1,4.2,3.7,3.5,1
Générer du DAX,Moyen,Exploratoire,Débutant,46.7,1,9.0,5,3.2,3.0,2.2,3.0,0
Analyser les données rapidement,Faible,Opérationnel,Intermédiaire,40.9,1,22.7,3,4.4,4.6,3.5,3.9,1
Créer des rapports automatiquement,Faible,Opérationnel,Débutant,21.7,0,21.7,1,3.6,4.0,3.3,3.8,0
Générer du DAX,Faible,Management,Débutant,57.2,0,57.2,1,3.0,2.8,3.7,4.4,0
Résumer les insights,Faible,Management,Débutant,20.2,1,9.3,1,3.8,3.3,2.9,3.6,0
Créer des rapports automatiquement,Élevé,Exploratoire,Intermédiaire,44.0,1,31.7,2,4.5,4.3,3.8,4.5,1
Créer des rapports automatiquement,Faible,Opérationnel,Débutant,21.9,0,21.9,1,2.5,3.3,1.9,2.9,0
Générer du DAX,Élevé,Opérationnel,Débutant,84.4,1,19.3,4,3.0,3.4,3.5,3.5,0
Créer des rapports automatiquement,Moyen,Opérationnel,Débutant,41.2,1,29.2,1,3.6,4.2,4.3,4.1,1
Analyser les données rapidement,Moyen,Opérationnel,Intermédiaire,31.7,0,31.7,1,3.5,3.7,2.0,3.5,0
Générer du DAX,Moyen,Opérationnel,Intermédiaire,47.8,1,16.2,3,3.3,3.6,3.2,3.4,0
Analyser les données rapidement,Faible,Management,Intermédiaire,31.7,1,18.0,1,4.3,5.0,3.8,3.9,1
Analyser les données rapidement,Élevé,Opérationnel,Expert,78.9,0,78.9,1,3.0,3.1,3.2,3.4,0
Analyser les données rapidement,Moyen,Management,Intermédiaire,42.1,1,20.8,1,3.9,4.3,4.1,3.9,1
Analyser les données rapidement,Moyen,Management,Débutant,25.9,1,11.9,2,4.2,4.0,4.3,4.3,1
Générer du DAX,Faible,Management,Intermédiaire,48.3,0,48.3,1,3.2,3.1,2.6,3.6,0
Créer des rapports automatiquement,Faible,Exploratoire,Débutant,37.6,1,24.3,2,4.1,4.5,4.7,4.0,1
Créer des rapports automatiquement,Élevé,Opérationnel,Intermédiaire,30.4,0,30.4,1,3.2,1.8,4.7,3.8,0
Poser des questions en langage naturel,Faible,Opérationnel,Intermédiaire,19.7,1,19.3,1,4.1,4.3,3.9,3.8,0
Générer du DAX,Élevé,Exploratoire,Expert,110.2,1,76.0,3,2.2,3.1,2.5,3.1,0
Résumer les insights,Élevé,Opérationnel,Intermédiaire,32.8,1,22.5,3,3.7,3.4,4.4,4.0,1
Générer du DAX,Faible,Management,Intermédiaire,49.1,1,18.7,5,3.6,2.7,3.5,3.4,0
Analyser les données rapidement,Faible,Opérationnel,Expert,35.9,1,27.0,1,4.0,3.9,3.7,4.1,1
Résumer les insights,Moyen,Exploratoire,Intermédiaire,31.4,1,20.4,4,4.2,4.6,4.3,4.3,0
Analyser les données rapidement,Moyen,Opérationnel,Intermédiaire,38.4,1,18.1,2,4.3,3.9,4.3,4.2,1
Générer du DAX,Faible,Opérationnel,Expert,56.3,0,56.3,1,4.0,4.2,2.8,3.7,0
Poser des questions en langage naturel,Élevé,Exploratoire,Débutant,55.2,1,34.9,1,3.3,4.1,5.0,4.8,1
Poser des questions en langage naturel,Faible,Exploratoire,Débutant,26.9,1,17.0,1,3.8,4.1,3.8,4.7,1
Résumer les insights,Faible,Opérationnel,Intermédiaire,14.6,1,9.4,3,4.0,4.6,3.2,4.1,1
Analyser les données rapidement,Faible,Management,Expert,22.0,0,22.0,1,4.3,2.9,2.2,2.9,0
Générer du DAX,Faible,Opérationnel,Débutant,43.7,0,43.7,1,3.9,4.1,4.0,3.7,0
Analyser les données rapidement,Élevé,Opérationnel,Intermédiaire,45.3,1,22.6,1,3.6,3.8,3.8,4.4,1
Analyser les données rapidement,Faible,Management,Expert,29.1,0,29.1,1,2.8,3.2,2.4,3.7,0
Résumer les insights,Moyen,Management,Débutant,23.3,1,11.1,3,4.1,4.2,2.9,4.2,1
Résumer les insights,Moyen,Management,Intermédiaire,29.0,1,17.6,1,4.9,4.8,3.4,4.3,1
Analyser les données rapidement,Élevé,Management,Intermédiaire,74.4,0,74.4,2,3.3,3.6,3.0,4.3,0
Analyser les données rapidement,Faible,Exploratoire,Intermédiaire,31.1,0,31.1,1,2.9,4.1,3.3,3.8,0
Créer des rapports automatiquement,Élevé,Management,Expert,65.3,1,56.1,2,3.6,4.7,3.4,3.8,1
Créer des rapports automatiquement,Faible,Opérationnel,Expert,36.9,0,36.9,1,3.2,4.9,4.3,3.4,0
Analyser les données rapidement,Moyen,Opérationnel,Débutant,46.7,1,15.0,1,4.8,4.2,3.7,4.8,1
Créer des rapports automatiquement,Moyen,Management,Expert,40.2,1,34.5,3,4.4,4.9,3.9,3.9,1
Générer du DAX,Moyen,Management,Intermédiaire,51.3,0,51.3,1,3.9,4.4,2.4,3.3,0
Poser des questions en langage naturel,Faible,Opérationnel,Expert,22.5,1,23.1,1,4.1,4.7,3.6,3.6,0
Poser des questions en langage naturel,Moyen,Opérationnel,Intermédiaire,26.3,1,22.3,1,4.5,4.9,4.7,3.5,1
Analyser les données rapidement,Élevé,Exploratoire,Intermédiaire,55.2,1,25.5,2,4.9,3.8,3.7,4.0,1
Résumer les insights,Élevé,Opérationnel,Intermédiaire,8.9,1,6.5,1,4.5,4.0,3.6,3.6,1
Générer du DAX,Moyen,Opérationnel,Intermédiaire,69.9,1,21.2,3,3.3,3.3,1.9,2.6,0
Poser des questions en langage naturel,Faible,Management,Débutant,23.5,0,23.5,1,3.1,3.5,2.3,3.7,0
Poser des questions en langage naturel,Moyen,Opérationnel,Intermédiaire,35.0,1,27.0,1,2.4,3.1,3.2,5.0,0
Générer du DAX,Moyen,Opérationnel,Intermédiaire,59.4,1,17.0,6,3.4,3.6,3.3,3.5,0
Résumer les insights,Moyen,Exploratoire,Débutant,25.6,1,14.0,1,3.8,5.0,4.1,4.6,1
Résumer les insights,Élevé,Opérationnel,Débutant,26.7,1,14.1,1,3.7,4.7,4.0,4.9,1
Poser des questions en langage naturel,Moyen,Opérationnel,Intermédiaire,31.6,0,31.6,1,3.5,3.4,2.4,4.4,0
Créer des rapports automatiquement,Élevé,Management,Débutant,38.4,0,38.4,4,4.1,3.8,2.9,3.8,0
Poser des questions en langage naturel,Faible,Exploratoire,Expert,26.0,0,26.0,1,4.1,3.3,1.9,3.5,0
Résumer les insights,Moyen,Management,Intermédiaire,19.9,1,11.3,2,4.3,4.3,2.9,4.0,1
Poser des questions en langage naturel,Faible,Exploratoire,Expert,17.0,1,15.5,1,3.9,4.1,3.1,3.7,0
Créer des rapports automatiquement,Moyen,Opérationnel,Intermédiaire,36.7,0,36.7,1,3.1,4.3,4.6,3.8,0
Générer du DAX,Moyen,Opérationnel,Intermédiaire,35.8,0,35.8,1,3.3,3.1,3.0,3.5,0
Résumer les insights,Moyen,Management,Débutant,29.1,1,22.0,2,4.8,4.0,4.0,3.6,1
Générer du DAX,Élevé,Opérationnel,Débutant,103.4,0,103.4,1,3.1,4.2,2.8,3.7,0
Générer du DAX,Faible,Management,Intermédiaire,53.0,0,53.0,1,4.0,3.8,3.2,3.4,0
Poser des questions en langage naturel,Moyen,Management,Débutant,34.9,1,23.3,1,4.4,3.7,3.5,4.4,1
Poser des questions en langage naturel,Moyen,Exploratoire,Intermédiaire,21.2,1,15.8,1,4.0,2.8,3.1,4.1,1
Générer du DAX,Élevé,Opérationnel,Débutant,65.3,1,14.9,2,3.8,3.4,3.9,3.4,1
Poser des questions en langage naturel,Moyen,Opérationnel,Expert,40.6,0,40.6,1,4.0,3.6,3.1,2.6,0
Analyser les données rapidement,Moyen,Opérationnel,Débutant,37.9,1,17.9,1,4.4,3.9,3.9,3.8,1
Analyser les données rapidement,Élevé,Management,Expert,45.7,1,33.0,1,3.4,3.5,4.1,5.0,1
Poser des questions en langage naturel,Faible,Opérationnel,Débutant,25.1,0,25.1,1,3.1,4.3,2.5,3.7,0
Résumer les insights,Faible,Opérationnel,Intermédiaire,15.1,0,15.1,2,3.3,4.0,3.4,2.8,0
Résumer les insights,Faible,Exploratoire,Intermédiaire,27.5,1,17.9,1,3.8,4.2,4.3,5.0,1
Nettoyer les données,Moyen,Exploratoire,Intermédiaire,30.1,0,69.67749856082261,1,4.4,2.8,4.5,3.4,0
Générer du DAX,Moyen,Management,Débutant,42.0,1,7.6,5,3.2,4.3,3.5,2.9,0
Créer des rapports automatiquement,Moyen,Opérationnel,Débutant,29.7,1,28.7,3,4.5,5.0,3.2,3.1,0
Générer du DAX,Élevé,Opérationnel,Expert,120.2,0,120.2,1,3.0,3.1,3.6,3.2,0
Résumer les insights,Élevé,Management,Intermédiaire,52.4,1,32.5,2,3.6,4.1,4.7,3.5,1
Résumer les insights,Élevé,Management,Intermédiaire,39.9,0,39.9,1,4.0,3.0,3.2,3.4,0
Générer du DAX,Élevé,Opérationnel,Intermédiaire,111.8,1,41.9,2,2.8,3.0,4.4,2.8,0
Analyser les données rapidement,Faible,Management,Expert,39.8,1,31.4,1,3.1,4.0,4.7,3.8,1
Créer des rapports automatiquement,Élevé,Opérationnel,Débutant,37.3,0,37.3,1,3.8,2.8,3.4,3.2,0
Résumer les insights,Faible,Opérationnel,Intermédiaire,24.5,1,15.4,1,4.2,3.7,3.2,3.8,1
Créer des rapports automatiquement,Moyen,Exploratoire,Intermédiaire,31.7,0,31.7,1,3.8,3.3,3.9,4.0,0
Résumer les insights,Moyen,Management,Débutant,21.0,1,13.8,1,4.6,3.9,4.6,3.8,1
Analyser les données rapidement,Moyen,Management,Débutant,40.9,1,16.0,1,4.0,4.5,3.9,3.1,1
Poser des questions en langage naturel,Faible,Management,Expert,30.3,1,24.0,1,4.5,3.9,4.1,4.4,1
Analyser les données rapidement,Faible,Exploratoire,Expert,28.4,1,18.3,2,4.3,4.5,3.9,3.5,1
Nettoyer les données,Moyen,Exploratoire,Débutant,44.5,1,8.894146186994286,1,4.1,3.9,3.4,4.7,1
Analyser les données rapidement,Moyen,Exploratoire,Débutant,32.3,1,9.8,2,4.5,4.1,5.0,4.4,1
Analyser les données rapidement,Faible,Opérationnel,Intermédiaire,30.2,1,12.7,2,4.6,4.4,4.6,3.7,1
Analyser les données rapidement,Moyen,Opérationnel,Intermédiaire,35.8,0,35.8,1,3.6,4.1,2.9,3.4,0
Résumer les insights,Moyen,Opérationnel,Intermédiaire,29.0,1,16.9,1,4.6,4.0,4.6,3.5,1
Résumer les insights,Faible,Exploratoire,Expert,14.3,1,11.6,1,3.9,4.8,4.9,3.0,1
Générer du DAX,Élevé,Opérationnel,Expert,46.9,0,46.9,1,4.2,2.9,3.4,3.5,0
Générer du DAX,Élevé,Opérationnel,Débutant,63.1,1,12.3,4,3.7,2.9,3.9,3.3,0
Poser des questions en langage naturel,Moyen,Exploratoire,Intermédiaire,31.7,1,19.5,1,4.4,4.9,5.0,4.0,1
Analyser les données rapidement,Moyen,Exploratoire,Expert,32.0,1,20.8,3,5.0,4.1,4.4,3.7,1
Créer des rapports automatiquement,Faible,Exploratoire,Intermédiaire,28.1,1,21.6,3,3.2,4.5,3.7,4.2,1
Créer des rapports automatiquement,Faible,Opérationnel,Débutant,20.9,1,15.3,3,4.0,4.8,4.6,4.7,1
Créer des rapports automatiquement,Moyen,Opérationnel,Intermédiaire,46.7,1,34.1,1,3.8,3.8,3.9,4.5,1
Créer des rapports automatiquement,Moyen,Opérationnel,Débutant,34.3,1,21.6,4,4.7,3.8,3.2,4.0,0
Analyser les données rapidement,Moyen,Management,Débutant,15.6,1,5.0,1,4.3,3.8,3.4,4.3,1
Résumer les insights,Moyen,Management,Intermédiaire,18.8,0,18.8,1,3.5,3.4,3.6,3.8,0
Créer des rapports automatiquement,Élevé,Exploratoire,Expert,55.2,1,49.1,1,3.3,3.9,5.0,3.6,1
Créer des rapports automatiquement,Faible,Opérationnel,Intermédiaire,24.5,1,18.6,2,3.8,4.4,4.3,4.1,1
Poser des questions en langage naturel,Faible,Management,Intermédiaire,28.5,1,23.4,1,4.7,4.2,4.7,5.0,1
Générer du DAX,Faible,Opérationnel,Débutant,38.4,0,38.4,1,3.8,3.7,4.2,3.8,0
Générer du DAX,Moyen,Management,Expert,49.8,0,49.8,1,4.0,3.5,2.7,2.8,0
Résumer les insights,Élevé,Opérationnel,Expert,27.5,1,26.3,2,4.5,4.1,2.5,4.1,0
Poser des questions en langage naturel,Faible,Opérationnel,Expert,28.3,1,23.8,1,4.1,4.6,3.4,4.8,1
Créer des rapports automatiquement,Élevé,Exploratoire,Expert,58.8,1,52.2,1,3.5,4.1,4.0,3.4,1
Créer des rapports automatiquement,Faible,Opérationnel,Expert,19.4,0,19.4,2,4.3,3.0,4.3,3.8,0
Générer du DAX,Moyen,Opérationnel,Intermédiaire,75.5,1,28.9,3,3.0,2.8,3.0,2.7,0
Créer des rapports automatiquement,Faible,Management,Intermédiaire,16.9,1,13.2,1,4.0,4.2,4.7,4.2,1
Résumer les insights,Moyen,Management,Intermédiaire,27.0,1,15.3,2,4.3,2.7,4.1,3.8,1
Créer des rapports automatiquement,Moyen,Exploratoire,Intermédiaire,31.4,1,25.3,2,4.3,4.4,3.9,2.3,1
Poser des questions en langage naturel,Faible,Management,Intermédiaire,27.3,0,27.3,1,3.2,3.7,4.0,3.0,0
Poser des questions en langage naturel,Moyen,Exploratoire,Intermédiaire,26.0,0,26.0,1,4.3,3.7,2.7,2.6,0
Créer des rapports automatiquement,Moyen,Exploratoire,Intermédiaire,45.1,0,45.1,1,3.7,3.2,3.6,3.1,0
Poser des questions en langage naturel,Élevé,Opérationnel,Débutant,57.9,1,35.0,4,3.9,4.8,3.3,3.8,0
Générer du DAX,Moyen,Opérationnel,Intermédiaire,95.7,0,95.7,1,3.5,4.1,3.1,2.8,0
Analyser les données rapidement,Faible,Exploratoire,Intermédiaire,27.9,1,15.5,1,3.6,3.9,4.0,4.2,1
Poser des questions en langage naturel,Élevé,Management,Débutant,18.8,1,12.7,1,4.0,4.6,4.4,5.0,1
Créer des rapports automatiquement,Moyen,Opérationnel,Débutant,33.5,1,23.2,1,3.4,4.8,4.3,4.5,1
Créer des rapports automatiquement,Élevé,Opérationnel,Expert,49.0,1,43.8,3,3.6,3.7,3.9,3.2,1
Améliorer le design,Faible,Management,Intermédiaire,24.6,1,8.450363783791545,1,3.7,4.1,3.7,4.8,0
Nettoyer les données,Moyen,Opérationnel,Expert,61.2,1,77.8647639072851,1,3.8,4.1,4.6,4.9,1
Générer du DAX,Moyen,Opérationnel,Débutant,44.9,0,44.9,1,4.1,3.8,3.8,3.8,0
Générer du DAX,Moyen,Opérationnel,Expert,52.0,0,52.0,1,3.8,4.2,3.7,3.5,0
Générer du DAX,Élevé,Opérationnel,Débutant,82.3,1,16.6,5,3.2,3.9,2.5,4.4,0
Poser des questions en langage naturel,Élevé,Management,Débutant,38.9,1,22.2,1,3.5,3.7,4.1,3.7,1
Résumer les insights,Faible,Exploratoire,Intermédiaire,19.6,1,17.6,1,3.7,4.3,3.7,3.8,1
Poser des questions en langage naturel,Moyen,Management,Intermédiaire,16.7,0,16.7,1,2.8,3.0,4.4,3.2,0
Générer du DAX,Moyen,Opérationnel,Expert,45.9,0,45.9,1,4.4,3.9,3.1,3.3,0
Générer du DAX,Faible,Management,Débutant,62.4,1,10.9,3,2.5,3.3,2.6,3.6,0
Générer du DAX,Élevé,Management,Expert,61.2,0,61.2,1,2.2,3.2,2.5,4.2,0
Générer du DAX,Moyen,Opérationnel,Intermédiaire,87.2,0,87.2,1,3.5,3.3,3.5,3.9,0
Résumer les insights,Faible,Exploratoire,Débutant,13.2,1,10.6,2,3.9,3.8,3.5,4.1,1
Créer des rapports automatiquement,Moyen,Management,Débutant,41.9,0,41.9,1,3.2,3.7,4.2,3.3,0
Analyser les données rapidement,Moyen,Management,Débutant,52.9,1,19.3,1,4.5,3.8,4.3,4.0,1
Générer du DAX,Moyen,Opérationnel,Expert,55.7,1,38.4,2,4.0,3.7,3.9,2.9,1
Résumer les insights,Faible,Management,Expert,25.4,0,25.4,2,4.7,4.3,3.5,3.4,0
Créer des rapports automatiquement,Moyen,Opérationnel,Intermédiaire,38.5,1,28.0,2,4.3,4.1,3.9,4.0,1
Poser des questions en langage naturel,Faible,Opérationnel,Expert,22.9,0,22.9,1,2.9,3.6,2.7,3.4,0
